Asset,File Name,Format,Midjourney Prompt
Card Tray Panel,gf_tray_panel,png,"Wide horizontal UI panel frame, dark obsidian background, ornate gold and gunmetal filigree border along top edge and both side edges, thin engraved geometric lines and angular rune etchings, divided into two equal sections by a faint vertical center divider, large empty transparent center area for card content, bottom edge clean and undecorated, flat top-down graphic design, dark fantasy tech hybrid aesthetic, game UI asset, isolated on pure black --ar 16:3 --stylize 600 --no characters, portraits, text, gradients, bright colors"
Operative Portrait Frame,gf_portrait_frame,png,"Square portrait frame UI element, dark gunmetal outer border with thin burnished gold inner trim, ornate corner filigree details, subtle angular geometric etching along edges, large empty transparent center for portrait image, faint class emblem placeholder in bottom-center trim, flat graphic design game UI asset, dark fantasy sci-fi hybrid, isolated on pure black, symmetrical design --ar 1:1 --stylize 650 --no characters, faces, text, interior content, gradients"
Operative Stats Panel,gf_stats_panel,png,"Horizontal UI panel frame, wide and short, dark obsidian base with thin gold top border, subtle engraved geometric line pattern along edges, three evenly spaced empty rectangular inset areas for stat values, faint label divider lines, minimal ornamental corner rivets, flat graphic design game UI asset, dark fantasy tech aesthetic, isolated on pure black --ar 5:1 --stylize 500 --no characters, text, icons, gradients, bright colors"
Round Indicator Background,gf_round_indicator,png,"Small square UI badge frame, dark gunmetal base, thick ornate gold border with angular rune etchings at each corner, subtle inner glow rim, large empty center circle for round number display, symmetrical design, flat graphic design game UI asset, dark fantasy sci-fi aesthetic, isolated on pure black --ar 1:1 --stylize 600 --no characters, text, numbers, gradients"
Confirm Button,gf_btn_confirm,png,"Small rectangular UI button frame, dark obsidian base, thin burnished gold border, subtle angular filigree detail at corners, clean empty center for label text, slight raised bevel effect, flat graphic design game UI asset, dark fantasy tech aesthetic, isolated on pure black --ar 3:1 --stylize 500 --no characters, text, icons, gradients"
Undo Button,gf_btn_undo,png,"Small rectangular UI button frame, dark gunmetal base, thin silver-grey border, subtle angular geometric etching at corners, clean empty center for label text, slight inset bevel effect, flat graphic design game UI asset, dark fantasy tech aesthetic, isolated on pure black --ar 3:1 --stylize 500 --no characters, text, icons, gradients"
Menu Button,gf_btn_menu,png,"Small square UI button frame, dark obsidian base, thin gold and gunmetal layered border, minimal ornamental corner details, clean empty center for icon or label, flat graphic design game UI asset, dark fantasy tech aesthetic, isolated on pure black --ar 1:1 --stylize 500 --no characters, text, icons, gradients"
Energy Token Active,gf_energy_active,png,"Small circular energy token, dark core with luminous teal-gold inner glow, thin engraved rune ring border, subtle outer aura pulse effect, flat graphic design game UI asset, dark fantasy sci-fi aesthetic, isolated on pure black, fully charged appearance --ar 1:1 --stylize 700 --no characters, text, gradients, dull colors"
Energy Token Spent,gf_energy_spent,png,"Small circular energy token, dark desaturated core, faint cracked rune ring border, very dim inner glow, flat graphic design game UI asset, dark fantasy sci-fi aesthetic, isolated on pure black, depleted or used appearance, matches active token silhouette --ar 1:1 --stylize 500 --no characters, text, bright colors, gradients"
Match Background Panel,gf_match_bg,png,"Full screen game board background, dark stone and metal floor texture, faint geometric rune grid lines, subtle central arena lighting from above, atmospheric fog at edges, no UI elements, dark fantasy sci-fi aesthetic, wide landscape orientation, game environment concept art style --ar 16:9 --stylize 750 --no characters, portraits, UI frames, text, bright colors"
